1989/12/31,40.5:117.5,40.5:118.5,40.5:119.5,40.5:120.5,40.5:121.5,39.5:117.5,39.5:118.5,39.5:119.5,39.5:120.5,39.5:121.5,38.5:117.5,38.5:118.5,38.5:119.5,38.5:120.5,38.5:121.5,37.5:117.5,37.5:118.5,37.5:119.5,37.5:120.5,37.5:121.5,36.5:117.5,36.5:118.5,36.5:119.5,36.5:120.5,36.5:121.5
1989/12/31,10.55999947,6.449999809,2.429999828,1.279999971,1.25999999,10.52999973,4.619999886,2.24000001,2.25999999,2.389999866,10.82999992,4.980000019,3.159999847,3.779999971,4.049999714,11.5,6.079999924,4.21999979,5.599999905,6,12.43999958,8.819999695,6.539999962,7.589999676,7.75
1990/1/7,10.5199995,6.21999979,1.99000001,0.709999979,0.620000005,10.46000004,4.329999924,1.909999967,1.889999986,2.079999924,10.75,4.639999866,2.75999999,3.49000001,3.839999914,11.42000008,5.699999809,3.699999809,5.299999714,5.819999695,12.35999966,8.470000267,6.119999886,7.289999962,7.509999752
1990/1/14,10.31999969,5.659999847,1.179999948,-0.039999999,0.029999999,10.19999981,3.50999999,0.939999998,1,1.389999986,10.44999981,3.639999866,1.529999971,2.369999886,2.99000001,11.09999943,4.589999676,2.25999999,3.970000029,4.759999752,12.05999947,7.549999714,4.71999979,5.869999886,6.329999924
1990/1/21,9.989999771,5.289999962,0.799999952,-0.419999987,-0.439999998,9.849999428,3.139999866,0.569999993,0.479999989,0.789999962,10.07999992,3.220000029,1.090000033,1.75999999,2.329999924,10.72999954,4.139999866,1.779999971,3.349999905,4.089999676,11.65999985,7.069999695,4.210000038,5.299999714,5.710000038
1990/1/28,10.09000015,5.339999676,0.819999993,-0.349999994,-0.399999976,9.949999809,3.119999886,0.560000002,0.379999995,0.74000001,10.13000011,3.029999971,0.829999983,1.389999986,2.00999999,10.75,3.799999952,1.24000001,2.679999828,3.49000001,11.68999958,6.75,3.49000001,4.380000114,4.839999676
1990/2/4,10.05000019,5.25,0.709999979,-0.469999999,-0.429999977,9.909999847,2.99000001,0.409999996,0.459999979,0.769999981,10.09999943,2.950000048,0.75,1.529999971,2.099999905,10.72999954,3.75999999,1.220000029,2.879999876,3.629999876,11.65999985,6.75,3.639999866,4.630000114,5.019999981
1990/2/11,10.17999935,5.369999886,0.839999974,-0.349999994,-0.310000002,10.03999996,3.159999847,0.569999993,0.529999971,0.829999983,10.25,3.159999847,0.98999995,1.549999952,2.079999924,10.88999939,3.99000001,1.50999999,2.74000001,3.470000029,11.81999969,6.869999886,3.639999866,4.429999828,4.759999752
1990/2/18,10.65999985,5.779999733,1.199999928,0,0.029999999,10.5199995,3.529999971,0.919999957,0.879999995,1.179999948,10.73999977,3.50999999,1.299999952,1.909999967,2.409999847,11.36999989,4.309999943,1.779999971,3.129999876,3.779999971,12.32999992,7.259999752,3.970000029,4.769999981,5.099999905
1990/2/25,10.13999939,5.529999733,1.169999957,-0.029999999,0.079999998,10.03999996,3.429999828,0.949999988,1.029999971,1.389999986,10.25,3.470000029,1.370000005,2.049999952,2.609999895,10.86999989,4.269999981,1.909999967,3.279999971,3.949999809,11.77999973,7.099999905,4.099999905,4.940000057,5.289999962
1990/3/4,10.27999973,5.699999809,1.389999986,0.170000002,0.329999983,10.17999935,3.659999847,1.199999928,1.299999952,1.659999967,10.43999958,3.779999971,1.74000001,2.409999847,2.929999828,11.06999969,4.639999866,2.389999866,3.679999828,4.309999943,11.97999954,7.449999809,4.589999676,5.420000076,5.710000038
